text,label
"INVOICE # 36258 SuperStore Bill To : Aaron Bergman Ship To : 98103, Seattle, Washington, United States Mar 06 2012 First Class $50.10 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Global Push Button Manager's Chair, Indigo 1 $48.71 $48.71 Chairs, Furniture, FUR-CH-4421 $48.71 $9.74 $11.13 $50.10 Subtotal : Discount (20%) : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AB10015140-40974",invoice
"INVOICE # 36259 SuperStore Bill To : Aaron Bergman Ship To : 98103, Seattle, Washington, United States Mar 06 2012 First Class $58.11 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Newell 330 3 $17.94 $53.82 Art, Office Supplies, OFF-AR-5309 $53.82 $4.29 $58.11 Subtotal : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AB10015140-40974",invoice
"INVOICE # 39519 SuperStore Bill To : Aaron Bergman Ship To : 76017, Arlington, Texas, United States Feb 19 2012 Standard Class $22.17 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Akro Stacking Bins 2 $12.62 $25.25 Storage, Office Supplies, OFF-ST-3078 $25.25 $5.05 $1.97 $22.17 Subtotal : Discount (20%) : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AB10015140-40958",invoice
"INVOICE # 36651 SuperStore Bill To : Aaron Hawkins Ship To : 90004, Los Angeles, California, United States May 12 2012 Standard Class $1,353.08 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Iceberg Nesting Folding Chair, 19w x 6d x 43h 6 $279.46 $1,676.74 Chairs, Furniture, FUR-CH-4840 $1,676.74 $335.35 $11.69 $1,353.08 Subtotal : Discount (20%) : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AH10030140-41041",invoice
"INVOICE # 36652 SuperStore Bill To : Aaron Hawkins Ship To : 90004, Los Angeles, California, United States May 12 2012 Standard Class $17.15 Date : Ship Mode : Balance Due : Item Quantity Rate Amount EcoTones Memo Sheets 2 $8.00 $16.00 Paper, Office Supplies, OFF-PA-4014 $16.00 $1.15 $17.15 Subtotal : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AH10030140-41041",invoice
"INVOICE # 37425 SuperStore Bill To : Aaron Hawkins Ship To : 94109, San Francisco, California, United States Oct 24 2012 First Class $160.94 Date : Ship Mode : Balance Due : Item Quantity Rate Amount GBC VeloBind Cover Sets 4 $49.41 $197.63 Binders, Office Supplies, OFF-BI-4372 $197.63 $39.53 $2.84 $160.94 Subtotal : Discount (20%) : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : US-2012-AH10030140-41206",invoice
"INVOICE # 38460 SuperStore Bill To : Aaron Hawkins Ship To : 12180, Troy, New York, United States Apr 21 2012 Second Class $2,037.92 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Staples 8 $247.84 $1,982.72 Fasteners, Office Supplies, OFF-FA-6129 $1,982.72 $55.20 $2,037.92 Subtotal : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AH10030140-41020",invoice
"INVOICE Bill To : Jun 5, 2023 $0.00 Date : Balance Due : Item Quantity Rate Amount $0.00 Total :",invoice
"INVOICE # 40100 SuperStore Bill To : Aaron Hawkins Ship To : 10035, New York City, New York, United States Dec 30 2012 First Class $112.53 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack 3 $34.77 $104.31 Accessories, Technology, TEC-AC-6340 $104.31 $8.22 $112.53 Subtotal : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AH10030140-41273",invoice
"INVOICE # 40101 SuperStore Bill To : Aaron Hawkins Ship To : 10035, New York City, New York, United States Dec 30 2012 First Class $58.00 Date : Ship Mode : Balance Due : Item Quantity Rate Amount Avery 51 3 $18.90 $56.70 Labels, Office Supplies, OFF-LA-3231 $56.70 $1.30 $58.00 Subtotal : Shipping : Total : Notes : Thanks for your business! Terms : Order ID : CA-2012-AH10030140-41273",invoice
